benefit,category,company address,company district,company id,company name,company province,description,level,name,requirement,salary,type,contact email,contact name,contact phone,work place
"- Được ăn ca miễn phí.
- Được ký Hợp đồng dài hạn (được đóng BHXH) nếu NV có nguyện vọng làm lâu dài.
- Thưởng tháng lương 13
- Các phúc lợi khác theo quy định của Luật lao động và theo Quy chế Công ty (tham khảo khi được mời phỏng vấn).
Lưu ý: ưu tiên sinh viên làm thêm, part time,chỉ liên hệ trong gìơ hành chính.",Kinh doanh,Phòng HCNS - 152 Đường Láng,Quận Đống Đa,5386950a76656e179c170000,Công ty TNHH Sỹ Phú,Hà Nội,"- Địa điểm làm việc tại 1 trong các nhà hàng của Công ty tại 5 Trúc Bạch, 9 Nguyễn Khắc Cần;
- Chuẩn bị các công việc vào ca;
- Thực hiện các nghiệp vụ của lễ tân theo hướng dẫn công việc của nhân viên lễ tân;
- Chuẩn bị các công việc đóng ca;
- Thực hiện các công việc khác do Tổ trưởng tổ lễ tân phân công;",Nhân viên,Nhân viên Lễ tân,"- Nữ, 18-26 tuổi;
- Ngoại hình khá, cân đối, cao từ 1m60 trở lên
- Ưu tiên ứng viên có kinh nghiệm; có nghiệp vụ lễ tân/bàn.
- Tiếng Anh giao tiếp là 1 lợi thế.

Lưu ý: làm việc tại số 5 Trúc Bạch hoặc số 9 Nguyễn Khắc Cần",1 - 3 triệu,Toàn thời gian,nhansu@syphu.vn,,,Hà Nội
"* Công ty có hỗ trợ 01 bữa cơm ca (ăn trưa)
* Được đóng BHXH, BHYT, BHTN sau khi ký hợp đồng lao động chính thức
* Được làm việc trong môi trường chuyên nghiệp, có cơ hội thắng tiến.
* Các chế độ khác theo Quy định của Công ty",Xây dựng,"Số 22, Lô biệt thự khu D, The Manor, Đường Mễ Trì",Huyện Từ Liêm,5386950a76656e179c250000,Công ty Cổ phần Đầu tư Châu Minh ASIA,Hà Nội,"- Xây dựng các tiêu chuẩn, tiêu chí kiểm tra chất lượng
+ Kiểm tra chất lượng đầu vào của nguyên vật liệu
+ Kiểm tra chất lượng chi tiết của sản phẩm khi pha cắt và trên các công đoạn.
+ Kiểm tra sản phẩm sau khi ráp
+ Kiểm tra sản phẩm sau khi bao gói (trước khi xuất hàng) đã đầy đủ tem, nhãn, mã...
- Lưu dữ liệu, hình ảnh kiểm tra cho các đơn hàng sau khi xuất
- Giải trình sự cố khi khách hàng phản hồi về vấn đề chất lượng...",Nhân viên,Quản lý chất lượng (QC) sản xuất đồ gỗ nội thất,"- Tốt nghiệp đại học, cao đẳng chuyên ngành kỹ thuật
- Ưu tiên có kinh nghiệm trong sản xuất hàng nội thất, cơ khí
- Am hiểu về quy trình sản xuất, quy trình kiểm tra sản phẩm
- Có khả năng giao tiếp, trao đổi, làm việc nhóm...
- Chịu được áp lực công việc cao...",Thỏa thuận,Toàn thời gian,ptnhung@chauminhasia.vn,,,Hà Nội
Theo quy định của Công ty,Xuất nhập khẩu,"Số 22, Lô biệt thự khu D, The Manor, Đường Mễ Trì",Huyện Từ Liêm,5386950a76656e179c250000,Công ty Cổ phần Đầu tư Châu Minh ASIA,Hà Nội,"- Xác định trình tự của các hoạt động định hình và lựa chọn các dụng cụ gia công cắt gọt cần thiết
- Lập trình các chương trình (chuyển đổi từ bản CAD), chạy chương trình và lưu trữ chúng trên bộ phận điều khiển của máy và đảm bảo tất cả các chương trình hoạt động chính xác và đáp ứng các thông số kỹ thuật.
- Kiểm tra các chương trình, chạy thử nghiệm trước khi chạy chính thức trên máy và tiến hành gia công sản phẩm.
- Điều khiển máy phay trong quá trình sản xuất, đưa các lệnh chương trình gia công đã lập trình vào modul kiểm soát máy và hoàn thiện thành công.
- Thay đổi dụng cụ cắt gọt khi cần thiết
- Lập dự phòng bảo trì thiết bị, CCDC, làm sạch và đảm bảo an toàn các thiết bị.",Nhân viên,Công nhân vận hành máy CNC,"Tốt nghiệp ĐH, CĐ chuyên ngành kỹ thuật
Có kinh nghiệm lập trình và vận hành máy CNC cho cơ khí và gỗ",Thỏa thuận,Toàn thời gian,ptnhung@chauminhasia.vn,,,Hà Nội
"* Mức lương thử việc : Thỏa thuận
* Công ty có hỗ trợ 01 bữa cơm ca (ăn trưa)
* Được đóng BHXH, BHYT, BHTN sau khi ký hợp đồng lao động chính thức
* Được làm việc trong môi trường chuyên nghiệp, có cơ hội thắng tiến.
* Các chế độ khác theo Quy định của Công ty
Số năm kinh nghiệm:	",Xuất nhập khẩu,"Số 22, Lô biệt thự khu D, The Manor, Đường Mễ Trì",Huyện Từ Liêm,5386950a76656e179c250000,Công ty Cổ phần Đầu tư Châu Minh ASIA,Hà Nội,"- Thực hiện các công việc sơn gỗ
- Thực hiện các công việc của cấp trên giao
- Bảo quản công cụ dụng cụ sạch sẽ, ngăn nắp, gọn gàng
- Thực hiện tốt nội quy, quy chế của công ty, thực hiện nhiêm túc quy định về an toàn lao động và phòng chống cháy nổ",Nhân viên,Thợ sơn lành nghề,"Thành thạo công việc sơn gỗ. Am hiểu và thành thạo quy trình sơn, chất liệu sơn. Có khả năng pha sơn, pha màu là một lợi thế.
Nam. Khỏe mạnh, nhanh nhẹn, nhiệt tình, chịu khó và chịu áp lực cao.
Ưu tiên ứng viên có kinh nghiệm về sơn nội thất, hoặc sơn ôtô.",Thỏa thuận,Toàn thời gian,ptnhung@chauminhasia.vn,,,Hà Nội
"Được hưởng đầy đủ các quyền lợi theo luật lao động. Thưởng tùy theo kết quả hoạt động sản xuất kinh doanh của doanh nghiệp, ngoài ra còn các chế độ phúc lợi khác.",Xuất nhập khẩu,"Số 22, Lô biệt thự khu D, The Manor, Đường Mễ Trì",Huyện Từ Liêm,5386950a76656e179c250000,Công ty Cổ phần Đầu tư Châu Minh ASIA,Hà Nội,"- Dựa vào đơn hàng lập kế hoạch mua vật tư
- Mua vật tư theo kế hoạch và chỉ đạo của Ban lãnh đạo
- Kiểm tra, kiểm soát vật tư trong quá trình xuất nhập.
- Sửa chữa máy móc thiết bị phục vụ quá trình sản xuất
- Công việc cụ thể sẽ trao đổi khi phỏng vấn",Nhân viên,Kỹ sư cơ khí,"Tốt nghiệp cao đẳng chuyên ngành cơ khí trở lên
Nhanh nhẹn, nhiệt tình với công việc
Biết nghiệp vụ về kế toán, kế toán kho
Hiểu biết về vật tư thiết bị cơ khí",Thỏa thuận,Toàn thời gian,chauminhasia.bacninh@gmail.com,,,Bắc Ninh
"* Công ty có hỗ trợ 01 bữa cơm ca (ăn trưa)
* Được đóng BHXH, BHYT, BHTN sau khi ký hợp đồng lao động chính thức
* Được làm việc trong môi trường chuyên nghiệp, có cơ hội thắng tiến.
* Các chế độ khác theo Quy định của Công ty",Xuất nhập khẩu,"Số 22, Lô biệt thự khu D, The Manor, Đường Mễ Trì",Huyện Từ Liêm,5386950a76656e179c250000,Công ty Cổ phần Đầu tư Châu Minh ASIA,Hà Nội,"Theo dõi và thông báo kịp thời những biến động về chất lượng cho Ban giám đốc và những bộ phận liên quan để có quyết định xử lý kịp thời không để lan rộng
Kiểm tra chất lượng đầu vào
Kiểm tra chất lượng công đoạn
Kiểm tra quy cách đóng gói thành phầm
Kiểm tra máy móc thiết bị và vệ sinh nhà máy
Theo dõi, tìm nguyên nhân và xử lý sản phẩm không phù hợp phát sinh trong quá tình sản xuất. Sự kiểm tra này cần phải lập và ghi chép thành văn bản và được lưu tại bộ phận Hành chính.
Tổng hợp báo cáo kết quả tay nghề hàng tháng và tổng hợp báo cáo các danh sách thưởng phạt theo quy định.",Nhân viên,Quản lý chất lượng (QC),"Nam, khỏe mạnh, nhanh nhẹn, nhiệt tình, chịu khó và chịu áp lực cao.",Thỏa thuận,Toàn thời gian,chauminhasia.bacninh@gmail.com,,,Bắc Ninh
" Thử việc: Từ 1 đến 2 tháng tùy theo năng lực.
Được làm việc trong môi trường chuyên nghiệp, năng động có nhiều cơ hội thăng tiến.
Được hỗ trợ cung cấp danh sách khách hàng để khai thác.
Được tham gia BHXH, BHYT, BHTN đầy đủ.
Các chế độ phúc lợi khác như: nghỉ lễ, tết, phép năm, tham quan du lịch hàng năm.
Được đào tạo cơ bản đến chuyên sâu (trước khi nhận việc).",Xuất nhập khẩu,"96 Nguyễn Cửu Vân, Phường 17",Quận Bình Thạnh,5386950a76656e179c2b0000,Công ty Cổ phần - Đầu tư - Dịch vụ bất động sản Thiên Đức,Hồ Chí Minh,"
    Tìm kiếm, phát triển, chăm sóc khách hàng.
    Duy trì mối quan hệ, hổ trợ khách hàng lựa chọn phù hợp.
    Đưa ra các chiến lược kinh doanh mới có hiệu quả phù hợp với từng giai đoạn.",Nhân viên,Nhân Viên Kinh Doanh BĐS,"
    Có laptop cá nhân.
    Đã tốt nghiệp, không còn bận việc học nào khác.
    Kỹ năng làm việc theo nhóm.
    Kỹ năng thuyết trình, thuyết phục cao.
    Nhanh nhẹn, có ý tưởng mới.
    Có tinh thần trách nhiệm cao và chịu áp lực trong công việc.
    Tốt nghiệp Cao đẳng trở lên.
    Đối với Ứng viên mới tốt nghiệp (yêu cầu phải đạt khá, giỏi trở lên).
    Đối với Ứng viên ra trường trên 01 năm (Có ít nhất 1 năm kinh nghiệm về kinh doanh).","Từ 3,5 – 10 triệu (lương cơ bản theo năng lực).",Toàn thời gian,quoclinh@thienducgroup.com,,,Hồ Chí Minh
"- Làm việc trong một môi trường chuyên nghiệp và năng động
- Có cơ hội được trao dồi thêm những kiến thức khác ngoài chuyên môn
- Được đào tạo quy trình tìm địa điềm và thẩm định tiềm năng khu vực",Xuất nhập khẩu,"601 Cách Mạng Tháng Tám, Phường 15",Quận 10,5386950a76656e179c1e0000,Công ty TNHH Thể chất và sắc đẹp Calia,Hồ Chí Minh,"I. Tính cách chung của ứng viên
- Có thái độ làm việc tích cực và chuyên nghiệp
- Có tinh thần trách nhiệm cao trong công việc được giao
- Có khả năng làm việc độc lập và làm việc theo nhóm
- Có khả năng chịu được áp lực cao trong công việc
- Có hiểu biết, đam mê về thị trường bán lẻ
- Có khả năng hỗ trợ các bộ phận khác của Công ty khi có yêu cầu

II. Công việc chính và trách nhiệm
- Khảo sát thị trường về các mặt bằng và đối tượng khách hàng tiềm năng trên địa bàn TPHCM
- Hỗ trợ và tìm kiếm mặt bằng thích hợp cho việc phát triển hệ thống cửa hàng Calia
- Tìm vị trí mặt bằng theo đúng tiêu chí công ty đưa ra
- Báo cáo tình hình khảo sát và tìm kiếm cho cấp trên",Nhân viên,Thực tập viên tìm kiếm cửa hàng,"- Công việc đòi hỏi phải thường xuyên đi lại bên ngoài
- Chịu khó, chăm chỉ
- Nhanh nhẹn, yêu thích công việc khảo sát và tìm kiếm mặt bằng",Thỏa thuận,Thực tập,phuongtram@vnpioneers.com,,,Hồ Chí Minh
"- Được hưởng mọi quyền lợi của một thực tập viên theo đúng quy định luật lao động của nhà nước
- Làm việc trong một môi trường chuyên nghiệp và năng động
- Được hưởng chế độ khen và thưởng cá nhân dựa theo thành tích cá nhân đạt được
- Có cơ hội trao dồi thêm những kiến thức khác ngoài chuyên môn
- Cơ hội tuyển dụng cho ứng viên làm việc tốt
- Được huấn luyên một số kỹ năng quản lý hàng hóa/thu mua trong ngành bán lẻ","Hàng tiêu dùng,Thực phẩm","601 Cách Mạng Tháng Tám, Phường 15",Quận 10,5386950a76656e179c1e0000,Công ty TNHH Thể chất và sắc đẹp Calia,Hồ Chí Minh,"I. Yêu cầu chung của ứng viên
- Có thái độ làm việc tích cực và chuyên nghiệp
- Có tinh thần trách nhiệm cao trong công việc được giao
- Có khả năng làm việc độc lập và làm việc theo nhóm
- Có khả năng chịu được áp lực cao trong công việc
- Có hiểu biết, đam mê về thị trường bán lẻ
- Có khả năng hỗ trợ các bộ phận khác của Công ty khi có yêu cầu

II. Công việc chính và trách nhiệm
- Đối với công việc tại kho Tổng của Công ty: hỗ trợ các việc xuất, nhập hàng, sắp xếp hàng trong kho sau đó là kiểm tra và đếm số lượng hàng hóa
- Làm việc trên hệ thống phần mềm quản lý bán hàng: hỗ trợ các công việc nhập liệu như tạo mã hàng và điều chỉnh giá. Đặt hàng, phân tích theo yêu cầu. Báo date hàng hóa
- Một số công việc khác theo yêu cầu của Bộ phận",Nhân viên,Thực tập viên thu mua,"- Yêu thích công việc thu mua. Có đam mê về lĩnh vực mỹ phẩm và trang sức nói riêng cũng như lĩnh vực bán lẻ nói chung là một lợi thế
- Hiện là sinh viện tại các trường đại học và cao đẳng
- Thành thạo Word, Excel và một số ứng dụng cơ bản khác trên máy tính
- Năng động, sáng tạo, tự chủ trong công việc
- Công việc giành cho những sinh viên cần đi thực tập",Thỏa thuận,Toàn thời gian,phuongtram@vnpioneers.com,,,Hồ Chí Minh
"- Được hưởng mọi quyền lợi theo đúng quy định luật lao động cùa Nhà nước
- Làm việc trong một môi trường chuyên nghiệp và năng động
- Được hưởng chế độ khen và thưởng cá nhân dựa theo thành tích cá nhân đạt được trong năm
- Có cơ hội được trao dồi thêm những kiến thức khác ngoài chuyên môn
- Có cơ hội thăng tiến vào các cấp bậc trên hay vào các bộ phận chuyên môn khác","Hàng tiêu dùng,Thực phẩm","601 Cách Mạng Tháng Tám, Phường 15",Quận 10,5386950a76656e179c1e0000,Công ty TNHH Thể chất và sắc đẹp Calia,Hồ Chí Minh,"I. Tích cách chung của ứng viên
- Có thái độ làm việc tích cực và chuyên nghiệp
- Có tinh thần trách nhiệm cao trong công việc được giao
- Có khả năng làm việc độc lập và làm việc theo nhóm
- Có khả năng chịu được áp lực cao trong công việc
- Có hiểu biết, đam mê về thị trường bán lẻ
- Có khả năng hỗ trợ các bộ phận khác của Công ty khi có yêu cầu

II. Công việc chính và trách nhiệm
1. Quản lý tài chính cửa hàng
2. Quản lý Marketing trong cửa hàng và trong khu vực
3. Quản lý khách hàng
4. Quản lý hàng hóa
5. Quản lý nhân sự
6. Quàn lý cơ sở hạ tầng của cửa hàng
7. Nhiệm vụ khác
- Trách nhiệm quản lý các quan hệ với các cấp chính quyền trong khu vực, các đoàn thể trong khu vực
- Khi công ty có những sự việc phát sinh đột xuất thì phải chịu sự phân bổ công việc theo sự chỉ đạo của Ban Giám Đốc",Nhân viên,Cửa hàng trưởng,"- Có ít nhất 2 - 3 năm kinh nghiệm trong ngành bán lẻ
- Có trên 2 năm kinh nghiệm Quản lý cửa hàng, ưu tiên kinh nghiệm trong ngành bán lẻ
- Có trên 2 năm kinh nghiệm quản lý nhân sự trong một cừa hàng
- Có khả năng trình bày, giao tiếp tốt
- Biết sử dụng phần mềm quản lý hàng hóa và doanh thu và thông thạo vi tính văn phòng: Microsoft Office, Outlook, Skype....",Thỏa thuận,Toàn thời gian,phuongtram@vnpioneers.com,,,Hồ Chí Minh
"- Lương, thưởng: cạnh tranh 
- Chính sách phúc lợi tốt.
- Môi trường làm việc trẻ trung năng động, được khuyến khích phát triển. 
",Hành chánh/Thư ký,"Tầng 3, tòa nhà Trung Yên 1, đường Vũ Phạm Hàm, Cầu Giấy, Hà Nội.",Quận Cầu Giấy,5386950a76656e179c300000,Công ty VNG Corporation,Hà Nội,"• Theo dõi và lập báo cáo hàng tồn kho (Nhập, xuất, tồn). 
• Theo dõi và lập báo cáo bán hàng (thu tiền, xuất hàng, trả hàng). 
• Kiểm tra duyệt chứng từ thanh toán nhập kho và chi phí. 
• Lập chứng từ thanh toán ngân hàng. 
• Đối chiếu công nợ, doanh số, thanh toán... với đối tác.
• Khai báo Thuế GTGT hàng tháng. 
• Hỗ trợ, tư vấn team business về quy định thuế (hóa đơn, hợp đồng, hàng hóa, thanh toán...).
• Theo dõi doanh thu bán hàng của từng brands hàng HN trên 123.vn và của từng dịch vụ từ shop HN trên 123Mua.
• Theo dõi chi phí hoàn tất đơn hàng 123.vn tại HN và tối ưu hóa chi phí.
• Quản lý các hợp đồng kinh doanh với khách hàng, hóa đơn.
",Nhân viên,KẾ TOÁN TỔNG HỢP,"• Tốt nghiệp đại học chuyên ngành kế toán-kiểm toán. 
• Có kinh nghiệm 3 năm Kế toán tổng hợp. 
• Nắm vững các chính sách về thuế và chuẩn mực kế toán. 
• Nắm bắt công việc nhanh và chịu áp lực công việc cao. 
• Sử dụng thành thạo MS Office đặc biệt Excel. 
• Sử dụng thành thạo tiếng Anh là 1 lợi thế.
Ưu tiên:
• Kinh nghiệm làm việc ở cty bán lẻ.
• Có kiến thức về Oracle.
",Thỏa thuận,Toàn thời gian,haypt@vng.com.vn,,,Hà Nội
- Được hưởng quyền lợi của một Thực tập sinh,Xây dựng,"601 Cách Mạng Tháng Tám, Phường 15",Quận 10,5386950a76656e179c1e0000,Công ty TNHH Thể chất và sắc đẹp Calia,Hồ Chí Minh,"-Phát triển nhận dạng thương hiệu cho một chuỗi cửa hàng bán lẻ
-Chủ động sáng tạo và phát triển ý tưởng
-Tham gia thiết kế theo xu hướng hoạt động của Công ty
-Triển khai các bảng vẽ 2D+3D kiến trúc theo yêu cầu
-Khảo sát, giám sát thiết kế
-Tham gia làm việc theo dự án với vị trí là họa viên phối cảnh 3D
-Nắm bắt xu hướng thiết kế, có khả năng sáng tạo tốt
- Có gu thẩm mỷ, sáng tạo trong công việc
- Chủ động sáng tạo và phát triển ý tưởng
- Có khả năng tự nghiên cứu và giải quyết vấn đề độc lập
- Kỹ năng phân tích vấn đề và thiết kế",Nhân viên,Họa viên thiết kế 3D (Thực tập viên),"- Sinh viên năm 4, 5
- Sinh viên đại học vể chuyên ngành thiết kế kiến trúc - mỹ thuật công nghiệp
- Thành thạo Vray 3DsMax, Auto Cad, AI và Photoshop

Yêu cầu chung:
-Có thái độ làm việc tích cực và chuyên nghiệp
- Có tinh thần trách nhiệm cao trong công việc được giao
- Có khả năng làm việc độc lập và lảm việc theo nhóm
- Có khả năng chịu được áp lực cao trong công việc
- Có hiểu biết, đam mê thị trường bán lẻ
- Có khả năng hỗ trợ các bộ phận khác của công ty khi có yêu cầu",Thỏa thuận,Toàn thời gian,phuongtram@vnpioneers.com,,,Hồ Chí Minh
"- Được hưởng lương theo năng lực
- Được đào tạo về kỹ năng sale, tư vấn tài chính
- Không khống chế về thời gian và chỉ quan tâm đến hiệu quả công việc",Hành chánh/Thư ký,"Tầng 7, tòa nhà Artex Sài Gòn, 236 - 238 Nguyễn Công Trứ",Quận 1,5386950a76656e179c330000,CTY TNHH MTV STYLE TV,Hồ Chí Minh,"- Phát triển và chăm sóc khách hàng là các nhà đầu tư
- Giới thiệu sản phẩm dịch vụ của công ty tới khách hàng
- Quảng bá thương hiệu cho công ty
- Trợ giúp khách hàng khi cần thiết",Nhân viên,Cộng tác viên tư vấn tài chính,"- Kỹ năng giao tiếp, đàm phán
- Kỹ năng phân tích, thuyết phục khách hàng
- Năng động, nhiệt tình và có kiến thức về tài chính
- Ưu tiên những người có kinh nghiệm trong lĩnh vực tài chính",Thỏa thuận,Toàn thời gian,thanhtdn@vgx.vn,,,Hồ Chí Minh
"- Lương kinh doanh cao, hấp dẫn.
- Thưởng doanh số, thưởng chăm sóc khách hàng, ......
- Môi trường làm việc năng động, chuyên nghiệp, có cơ hội giao tiếp với nhiều
- Được đào tạo về thị trường đầu tư tài chính, thị trường forex, gold,....",Xuất nhập khẩu,"Tầng 7, tòa nhà Artex Sài Gòn, 236 - 238 Nguyễn Công Trứ",Quận 1,5386950a76656e179c330000,CTY TNHH MTV STYLE TV,Hồ Chí Minh,"- Hiểu rõ ưu, nhược điểm sản phẩm của Công ty; hiểu rõ sản phẩm của đối thủ cạnh tranh.
- Nắm rõ cơ cấu tổ chức, nội quy, quy trình – quy chế và điều lệ của Công ty.
- Tìm hiểu nhu cầu khách hàng, tìm kiếm khách hàng tiềm năng.
- Tư vấn mở Hợp đồng giao dịch cho khách hàng.
- Chăm sóc khách hàng theo kế hoạch đã định.
- Cập nhập các thông tin tài chính, cung cấp cho khách hàng, duy trì mối quan hệ khách hàng.
- Chịu trách nhiệm chính trong việc hướng dẫn khách hàng quản lý tài khoản giao dịch của mình (nộp, rút tiền, uỷ quyền).",Nhân viên,Cộng Tác Viên,"- Có laptop để hướng dẩn khách hàng.
- Sử dụng thành thạo các phần mềm.",3 - 5 triệu,Toàn thời gian,thanhtdn@vgx.vn,,,Hồ Chí Minh
"- Lương + Hoa hồng cao (Trên 10 triệu).
- Được hưởng chế độ theo luật lao động.
- Được đào tạo phân tích kỹ thuật, phân tích cơ bản trong đầu tư tài chính.
- Được đào tạo kỹ năng mềm áp dụng trong kinh doanh.
- Được hỗ trợ database giúp phát triển kinh doanh tốt.",Xuất nhập khẩu,"Tầng 7, tòa nhà Artex Sài Gòn, 236 - 238 Nguyễn Công Trứ",Quận 1,5386950a76656e179c330000,CTY TNHH MTV STYLE TV,Hồ Chí Minh,"- Phát triển khách hàng mới.
- Chăm sóc khách hàng đã phát triển.
- Phân tích nhận định thị trường.
- Đưa ra chiến lược kinh doanh.
- Báo cáo công việc và kế hoạch kinh doanh hàng tuần.",Nhân viên,Nhân viên kinh doanh và Cộng tác viên,"- Ứng viên không phân biệt nam hay nữ.
- Tuổi từ 25 trở lên.
- Có xe máy, Laptop (bắt buộc).
- Vui vẻ hoạt bát, có khả năng nói trước đám đông.
- Hòa đồng, tôn trọng đồng nghiệp và cấp trên.
- Kỷ luật làm việc nghiêm túc.
- Báo cáo công việc.",3 - 5 triệu,Toàn thời gian,thanhtdn@vgx.vn,,,Hồ Chí Minh
According to company's policy,Xuất nhập khẩu,VSIP 1 - Binh Duong,Huyện Thuận An,5386950a76656e179c370000,Công ty MANPOWER CONSULTING CO.LTD,Bình Dương,"Responsibilities
- Coordinate all new packaging materials development activities.
- Work closely with the design agency, Sales, Marketing and Factory Departments on all issues regarding packaging matters.
- Assist the suppliers on the design, fabrication, execution and implementation of the packaging items.
- Supervise and liaise closely with the suppliers of packaging items contracted by the company to ensure that the quality, cost and delivery targets are achieved.
- These packaging items include plastic tube, laminate tube, aluminum tubes, plastic bottles, decal films, sticker label, label printing blister packaging, unit carton box, internal box, corrugated cartons etc.
- Provide training and advice to the suppliers on the manufacturing process and quality standards required for the packaging items.
- Prepares and continually updates all the Quality Standards of all packaging materials
- Continually improving the cost, quality and performance of all packaging materials.
- Generates saving cost through the identification and negotiation of more cost effective sourcing opportunities
- Ensures that packaging equipment and processes are capable of meeting production schedules, customer demands, and Quality targets",Nhân viên,Packing Engineer,"Requirements
- BS in Packaging Engineering, Material Science, Industrial Design
- 03 years experienced working in packaging printing for factory firm
- Good at English communication
- Proficiency in Microsoft office",15.000.000,Toàn thời gian,thao.nguyen@manpowerconsult.com,,,Bình Dương
"- Lương + Hoa hồng cao (Trên 10 triệu).
- Được hưởng chế độ theo luật lao động.
- Được hỗ trợ database giúp phát triển kinh doanh t",Xuất nhập khẩu,"Tầng 7, tòa nhà Artex Sài Gòn, 236 - 238 Nguyễn Công Trứ",Quận 1,5386950a76656e179c330000,CTY TNHH MTV STYLE TV,Hồ Chí Minh,"- Ứng viên không phân biệt nam hay nữ.
- Tuổi từ 28 trở lên.
- Có xe máy, Laptop (bắt buộc).
- Vui vẻ hoạt bát, có khả năng nói trước đám đông.
- Hòa đồng, tôn trọng đồng nghiệp và cấp trên.
- Kỷ luật làm việc nghiêm túc.
- Báo cáo công việc.
- Lập kế hoạch doanh số.
- Có kinh nghiệm thị trường Chứng khoán, Forex.",Nhân viên,Trưởng phòng Kinh doanh,Có kinh nghiệm thị trường Forex là lợi thế. Tôn trọng nghề nghiệp và tổ chức.,7 – 10 triệu,Toàn thời gian,thanhtdn@vgx.vn,,,Hồ Chí Minh
"• Được đào tạo các kỹ năng và kiến thức cần thiết trong công việc
• Lương chính thức : 3.000.000vnđ - 5.000.000 vnđ/tháng và hoa hồng hấp dẫn theo doanh số
• Được làm việc trong môi trường năng động, chuyên nghiệp
• Hưởng các chính sách cho CBNV theo quy định nhà nước
• Được đào tạo thêm về chuyên môn và các kỹ năng cần thiết cho từng nghiệp vụ
• Nhiều cơ hội thăng tiến, phát triển bản thân……
• Được hỗ trợ database giúp phát triển kinh doanh tốt.","Hàng tiêu dùng,Thực phẩm","Tầng 7, tòa nhà Artex Sài Gòn, 236 - 238 Nguyễn Công Trứ",Quận 1,5386950a76656e179c330000,CTY TNHH MTV STYLE TV,Hồ Chí Minh,"• Tìm kiếm, tiếp cận và phát triển khách hàng
• Tư vấn cho khách hàng đầu tư vàng, ngoại hối
• Hỗ trợ và chăm sóc khách hàng
• Tham gia xây dựng, phát triển và triển khai các sản phẩm tiện ích phục vụ khách hàng",Nhân viên,Nhân viên kinh doanh,"- Kỹ năng vi tính văn phòng thành thạo
- Đã tìm hiểu qua thị trường Vàng - Ngoại hối",3 - 5 triệu,Toàn thời gian,linhnt@vgx.vn,,,Hồ Chí Minh
,Hàng tiêu dùng/Thực phẩm,VSIP 1 - Binh Duong,Huyện Thuận An,5386950a76656e179c370000,Công ty MANPOWER CONSULTING CO.LTD,Bình Dương,"- Report to Marketing Director
- Manage and lead the marketing team
- Plan, develop, implement marketing strategies efficiently & effectively to achieve marketing goals and sales target
- Plan & develop new products
- Liaise with agencies to yield best results from both ATL & BTL activities 
",Nhân viên,Marketing Manager,"- University Degree.
- 3 -5 years experience in similar field.
- Strong marketing and marketing management experiences in the FMCG industry, preferably in the drinks category.
- Experience in new product launch.
-Speak English or Mandarin fluently.
",1500-2000$,Toàn thời gian,hong.nguyen@manpowerconsult.com,,,Hồ Chí Minh
"Sau khi thử việc 2 tháng sẽ kí hợp đồng, hưởng bảo hiểm theo chế độ của công ty.",Xuất nhập khẩu,80 Trúc Khê,Quận Đống Đa,5386950a76656e179c3c0000,Công ty SUN SMILE TRAVEL VIETNAM,Hà Nội,"Tìm kiếm khách hang tiềm năng, khách đoàn, khách lẻ , chăm sóc khách hàng đến khi công việc kết thúc, giải quyết mọi vướng mắc trong quá trình lám việc hoăc đi tour...",Nhân viên,"Marketing, sale tour du lich","Trung thực, nhanh nhẹn, tháo vát, có khả năng làm việc theo nhóm.",Thỏa thuận,Toàn thời gian,director@sunsmiletravel.com.vn,,,Hà Nội
- According to company's policy,Xuất nhập khẩu,VSIP 1 - Binh Duong,Huyện Thuận An,5386950a76656e179c370000,Công ty MANPOWER CONSULTING CO.LTD,Bình Dương,"Responsibilities
- Monitors the performance of quality system and procedures and assesses their effectiveness.
- Emphasis on prevention on defects and the implementation of continuous improvement opportunities.
- Sets up procedures for the implementation of current GMP rules from starting material to finished products.
- Performs self-inspection and conducts out GMP training.
- Approves SOP and manages the SOP system.
- Evaluate technical complaints and decides about resulting measures, if applicable in cooperation with other Depts.
- Assures validation of manufacturing processes and utilities.
- Cooperate with other Depts. in monitoring abnormal situations in manufacturing and quality control.
- Supervises change control system and approves changes.
- Approves master processing procedures and master packaging procedures.
- Assures approval or rejection of starting material, intermediate products, bulk products and finished products complied with relevant SOPs.
- Cooperate with other Depts. in evaluation suppliers.
- Follow other duties if required from Factory Director",Nhân viên,Assistant Production Manager (Cosmetic or Pharma),"Requirements
- Degree in Mechanical Engineering / Industrial Engineering.
- At least 3 years experience in Manufacture Company.
- Good at speaking English.
- Computer literate.",1000$,Toàn thời gian,thao.nguyen@manpowerconsult.com,,,Bình Dương
